date,attemp_id,Venue,Grade,Route,progress,falls,Belayer,Type
38787.00,1,1,5.1,1,1,0,2,2
38787.00,2,1,5.1,2,1,0,2,2
38787.00,3,1,5.105,3,1,0,2,2
38787.00,4,1,5.1025,4,1,0,2,2
38787.00,5,1,5.1075,5,0.2,1,2,2
38787.00,6,1,5.105,6,1,1,2,2
38787.00,7,1,5.105,7,1,2,2,2
38787.00,8,1,5.1,8,1,1,2,2
38787.00,9,1,5.1025,9,1,1,2,2
38787.00,10,1,5.1025,9,1,0,2,2
38787.00,11,1,5.1,10,1,0,2,2
38790.00,12,1,5.1025,4,1,0,3,2
38790.00,13,1,5.1025,4,1,0,3,2
38790.00,14,1,5.1025,11,1,0,3,2
38790.00,15,1,5.105,12,1,0,3,2
38790.00,16,1,5.105,6,1,0,3,2
38790.00,17,1,5.1025,13,1,2,3,2
38790.00,18,1,5.105,14,1,0,3,2
38790.00,19,1,5.105,15,1,1,3,2
38792.00,20,1,5.1,16,1,0,3,2
38792.00,21,1,5.1025,17,1,0,3,2
38792.00,22,1,5.105,18,0.6,1,3,2
38792.00,23,1,5.1025,4,1,0,3,2
38792.00,24,1,5.1025,19,0.96,3,3,2
38792.00,25,1,5.1025,20,1,1,3,2
38792.00,26,1,5.1,21,1,2,3,2
38797.00,27,1,5.09,22,1,0,3,2
38797.00,28,1,5.1,21,1,1,3,2
38797.00,29,1,5.1025,13,1,0,3,2
38797.00,30,1,5.1075,23,1,0,3,2
38797.00,31,1,5.105,24,1,0,3,2
38797.00,32,1,5.1025,25,1,0,3,2
38797.00,33,1,5.1025,26,1,0,3,2
38797.00,34,1,5.1,27,1,0,3,2
38797.00,35,1,5.1,1,1,0,3,2
38797.00,36,1,5.1,21,1,1,3,2
38804.00,37,1,5.1025,17,1,0,3,2
38804.00,38,1,5.1075,28,1,0,3,2
38804.00,39,1,5.1125,29,0.25,1,3,2
38804.00,40,1,5.105,30,1,0,3,2
38804.00,41,1,5.1075,31,1,4,3,2
38804.00,42,1,5.105,32,0.15,3,3,2
38804.00,43,1,5.1025,33,1,0,3,2
38804.00,44,1,5.1,21,1,0,3,2
38807.00,45,1,5.1025,34,1,0,3,2
38807.00,46,1,5.1075,35,0.05,1,3,2
38807.00,47,1,5.105,32,1,1,3,2
38807.00,48,1,5.1,36,1,0,3,2
38807.00,49,1,5.1,36,1,0,3,2
38807.00,50,1,5.1075,5,1,3,3,2
38807.00,51,1,5.1075,37,1,1,3,2
38807.00,52,1,5.1025,11,1,0,3,2
38807.00,53,1,5.1025,38,1,1,3,2
38809.00,54,1,5.1025,34,1,0,4,2
38809.00,55,1,5.1,39,1,0,4,2
38809.00,56,1,5.1025,40,1,0,4,2
38809.00,57,1,5.105,6,1,0,4,2
38809.00,58,1,5.105,41,1,0,4,2
38809.00,59,1,5.105,18,1,2,4,2
38811.00,60,1,5.1,42,1,0,3,2
38811.00,61,1,5.1025,33,1,0,3,2
38811.00,62,1,5.1075,43,1,0,3,2
